Category,Metric_Code,Question,Allottees (E’ Numu Diip),"DM, RSF (Fishery Co-op)",Many Nations (Insurance Co-op),RTZ (Artists Co-op),Allottees (E’ Numu Diip) — Note,"DM, RSF (Fishery Co-op) — Note",Many Nations (Insurance Co-op) — Note,RTZ (Artists Co-op) — Note
Finance and Financial Discipline,Lines_Of_Credit_Sufficient,Are available lines of credit sufficient for planned operations?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Partnerships and External Support,External_Partners_Count,How many active external partner organizations does the co-op work with?,6,6,3,5,[allottees.txt L79-L97],Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Partnerships and External Support,NonIndigenous_Partnerships_Count,How many partners are non-Indigenous organizations?,3,4,-1,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.
Partnerships and External Support,Grants_or_Funding_Sources_Count,How many distinct grants or external funding sources have been secured?,4,2,1,2,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
"Programs, Services, and Training",Programs_or_Services_Added_Count,How many new programs or services have been added since founding?,-1,-1,1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).
"Programs, Services, and Training",Training_Programs_Count,How many training or workforce development programs are offered?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
"Programs, Services, and Training",Community_Engagement_Events_Count,How many community engagement events or workshops has the co-op organized?,-1,30,-1,4,Not stated explicitly in transcript (kept -1).,"[Interview with DM, RSF.txt L33]",Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.
Innovation and Offering Development,Innovations_Count,"How many notable new practices, models, or platforms has the co-op developed?",4,4,3,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Innovation and Offering Development,New_Products_or_Services_Count,How many new products or services has the co-op launched since founding?,4,6,3,4,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Innovation and Offering Development,Unique_Products_Offered,Does the co-op offer products uniquely difficult to source elsewhere?,0,-1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Operations and Supply Chain,External_Processing_In_Chain,"Does the value chain rely on external processing, warehousing, or certification?",0,1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Operations and Supply Chain,Capital_Equipment_Own_Lease_Rent,"Does the co-op own, lease, or rent production equipment that would be difficult for a single member to afford alone?",0,1,0,-1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).
Operations and Supply Chain,NonMember_Workers_Employed,Does the co-op employ non‑member workers to meet operational needs?,1,1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Operations and Supply Chain,Local_Sourcing_Primary,Are the co-op’s inputs sourced mainly from the local area?,-1,1,-1,-1,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Operations and Supply Chain,Local_Purchasing_Primary,Are the co-op’s outputs purchased mainly within the local community?,-1,0,-1,-1,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Markets and Sales Channels,Revenue_Streams_Count,"How many primary, recurring revenue streams does the co-op have?",2,2,1,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Markets and Sales Channels,Primary_Sales_Channel,"Do most end customers buy directly from the co‑op, or mostly via distributors/retailers?",1,2,-1,1,Supported by transcript context; no single-line numeric citation identified.,"[Interview with DM, RSF.txt L70-L70]",Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.
Markets and Sales Channels,Sales_Distribution_Area_Code,"What is the main sales footprint (local, regional, state/province, national, international)?",1,5,-1,1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.
Technology and Digitization,Digital_Tools_Count,How many distinct digital tools are used in operations and marketing?,2,4,2,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Culture and Heritage,Cultural_Integrations_Count,In how many concrete ways are traditional or cultural values integrated?,3,4,2,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Culture and Heritage,Cultural_Preservation_Modes_Count,How many ongoing initiatives support cultural preservation?,3,3,2,3,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
Geography and Participation,Production_Footprint_Scope_Code,What is the scope of the production footprint?,1,-1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Geography and Participation,Multi_Tribal_Involvement,Are multiple tribes or communities formally involved?,-1,1,1,0,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
"Risk, Relations, and Adaptation",Challenges_Identified_Count,How many persistent challenges or obstacles are recognized?,5,5,4,5,[allottees.txt L85-L397],Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
"Risk, Relations, and Adaptation",Issues_With_Government,Are there significant government-related issues affecting business?,1,1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
"Risk, Relations, and Adaptation",Issues_With_Tribes,Are there significant tribe-related issues affecting business?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
"Risk, Relations, and Adaptation",Issues_With_Community,Are there significant community-related issues affecting business?,-1,1,-1,-1,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
"Risk, Relations, and Adaptation",Risk_Strategies_Count,How many discrete risk‑mitigation strategies are in place?,3,2,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
"Risk, Relations, and Adaptation",Climate_Market_Adaptations_Count,How many adaptations address climate or market shifts?,3,4,1,1,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.
