Category,Metric_Code,Question,Data_Type,Encoding,Allowed_Values,Missing_Code,Extraction_Keywords,Notes
"Programs, Services, and Training",Community_Engagement_Events_Count,How many community engagement events or workshops has the co-op organized?,int,raw count,0..∞,-1,workshop; event; meeting; conference,Use stated totals or best estimate.
Innovation and Offering Development,Innovations_Count,"How many notable new practices, models, or platforms has the co-op developed?",int,raw count,0..∞,-1,innovation; model; platform,Count distinct innovations.
Innovation and Offering Development,New_Products_or_Services_Count,How many new products or services has the co-op launched since founding?,int,raw count,0..∞,-1,product; service; developed,Include still-offered items.
Innovation and Offering Development,Unique_Products_Offered,Does the co-op offer products uniquely difficult to source elsewhere?,int,boolean,"0=No,1=Yes",-1,unique; authentic; only source,Based on market distinctiveness.
Operations and Supply Chain,External_Processing_In_Chain,"Does the value chain rely on external processing, warehousing, or certification?",int,boolean,"0=No,1=Yes",-1,processing plant; warehouse; certification,Any external step critical to output.
Operations and Supply Chain,Capital_Equipment_Own_Lease_Rent,"Does the co-op own, lease, or rent production equipment that would be difficult for a single member to afford alone?",int,boolean,"0=No,1=Yes",-1,equipment; lease; rent,High-cost shared assets.
Operations and Supply Chain,NonMember_Workers_Employed,Does the co-op employ non‑member workers to meet operational needs?,int,boolean,"0=No,1=Yes",-1,non-member; hire,Paid roles only.
Operations and Supply Chain,Local_Sourcing_Primary,Are the co-op’s inputs sourced mainly from the local area?,int,boolean,"0=No,1=Yes",-1,local sourcing; inputs,>50% threshold for 'Yes'.
Operations and Supply Chain,Local_Purchasing_Primary,Are the co-op’s outputs purchased mainly within the local community?,int,boolean,"0=No,1=Yes",-1,local customers; local sales,>50% threshold for 'Yes'.
Markets and Sales Channels,Revenue_Streams_Count,"How many primary, recurring revenue streams does the co-op have?",int,raw count,0..∞,-1,revenue stream; income from,"Primary, recurring streams only."
Markets and Sales Channels,Primary_Sales_Channel,"Do most end customers buy directly from the co‑op, or mostly via distributors/retailers?",int,categorical code,"1=Direct,2=Distributors/Retailers,3=Mixed",-1,direct sales; distributor; retailer,Use majority channel.
Markets and Sales Channels,Sales_Distribution_Area_Code,"What is the main sales footprint (local, regional, state/province, national, international)?",int,ordinal code,"1=Local,2=County/Regional,3=State/Province,4=National,5=International",-1,local; statewide; national; worldwide,Choose the dominant scope.
Technology and Digitization,Digital_Tools_Count,How many distinct digital tools are used in operations and marketing?,int,raw count,0..∞,-1,website; platform; QR; social,Count unique tool types.
Culture and Heritage,Cultural_Integrations_Count,In how many concrete ways are traditional or cultural values integrated?,int,raw count,0..∞,-1,traditional; cultural values; elders,Count explicit practices.
Culture and Heritage,Cultural_Preservation_Modes_Count,How many ongoing initiatives support cultural preservation?,int,raw count,0..∞,-1,preservation; language; traditional foods,"Ongoing, not one-off."
Geography and Participation,Production_Footprint_Scope_Code,What is the scope of the production footprint?,int,ordinal code,"1=Local,2=Reservation-wide,3=State/Province,4=Multi-state/Province,5=National/International",-1,production area; footprint,Pick highest level consistently operated.
Geography and Participation,Multi_Tribal_Involvement,Are multiple tribes or communities formally involved?,int,boolean,"0=No,1=Yes",-1,multi-tribe; multiple communities,"Formal involvement, not ad hoc."
"Risk, Relations, and Adaptation",Challenges_Identified_Count,How many persistent challenges or obstacles are recognized?,int,raw count,0..∞,-1,challenge; obstacle; barrier,Distinct ongoing issues.
"Risk, Relations, and Adaptation",Issues_With_Government,Are there significant government-related issues affecting business?,int,boolean,"0=No,1=Yes",-1,government; regulator; BIA,Only if business-affecting.
"Risk, Relations, and Adaptation",Issues_With_Tribes,Are there significant tribe-related issues affecting business?,int,boolean,"0=No,1=Yes",-1,tribe; council; leadership,Only if business-affecting.
"Risk, Relations, and Adaptation",Issues_With_Community,Are there significant community-related issues affecting business?,int,boolean,"0=No,1=Yes",-1,community; local; neighborhood,Only if business-affecting.
"Risk, Relations, and Adaptation",Risk_Strategies_Count,How many discrete risk‑mitigation strategies are in place?,int,raw count,0..∞,-1,risk; mitigation; strategy,"Policy, practice, or tool."
"Risk, Relations, and Adaptation",Climate_Market_Adaptations_Count,How many adaptations address climate or market shifts?,int,raw count,0..∞,-1,adaptation; climate; market shift,Distinct operational changes.
